index,AAPL,ABBV,ABT,ACN,ADBE,AIG,AMD,AMGN,AMT,AMZN,AVGO,AXP,BA,BAC,BK,BKNG,BLK,BMY,C,CAT,CHTR,CL,CMCSA,COF,COP,COST,CRM,CSCO,CVS,CVX,DHR,DIS,DUK,EMR,EXC,FALSE.,FDX,GD,GE,GILD,GM,GOOG,GOOGL,GS,HD,HON,IBM,INTC,JNJ,JPM,KHC,KO,LIN,LLY,LMT,LOW,MA,MCD,MDLZ,MDT,MET,META,MMM,MO,MRK,MS,MSFT,NEE,NFLX,NKE,NVDA,ORCL,PEP,PFE,PG,PM,PYPL,QCOM,RTX,SBUX,SCHW,SO,SPG,TRUE.,TGT,TMO,TMUS,TSLA,TXN,UNH,UNP,UPS,USB,V,VZ,WBA,WFC,WMT,XOM
0.001248462,-0.025378314,-0.004174505,-0.000232717,0.005191153,0.004014927,0.003469001,-0.007246402,-0.00107429,0.019559211,-0.005036283,-0.034027392,-0.015506211,0.004049012,0,-0.003759859,-0.028242274,0.002578009,0.019501056,-0.005294426,-0.010497717,-0.013382681,0.004471397,0.000179801,-0.018260394,0.011031348,0.002441551,0.004422535,-0.004553876,0.002898634,0.008517301,0.00185284,-0.020404889,0.007138622,-0.006575073,0.006769831,-0.018057543,0.008469704,0.00417987,0.000976283,0.012673118,-0.026773799,0.000997092,0.002748243,-0.017368065,-0.004894888,0.00815634,-0.000735709,-0.004718472,0.004171259,0.001727839,0.009446112,0.003531642,-0.003448458,0.014852136,0.023409362,0.002123103,0.001896941,0.013683571,0.00818741,0.002899149,-0.019202677,0.004976855,0.004349271,0.020011003,0.012686019,-0.006373487,0.004551653,0.009704545,-0.021138508,0.013882299,0.015936603,-0.003081238,0.006861193,0.007173013,0.00318482,0.009950329,-0.012742675,-0.01974692,0.001568113,0.006671972,-0.003132047,0.006992289,0.019717585,0.006962324,0.017386979,-0.001731308,0.032085623,8.95E-05,-0.010544864,0.001887379,-0.00967063,0.009862605,0.004810026,0.007501988,0.013641205,-0.026599836,-0.000377838,0.023477603,0.008484244
-0.01219439,-0.019764071,0.000174537,-0.008423202,-0.001955647,-0.014398152,-0.0147855,-0.091318162,-0.0092093,-0.003555527,-0.001800358,-0.031242448,-0.028162417,-0.016006211,-0.021532726,-0.025433734,-0.011614304,-0.011443795,-0.017712562,-0.014656732,-0.01588029,-0.004921611,-0.013319046,-0.007756919,-0.013187527,-0.044212211,-0.009297213,-0.009912721,-0.010707796,-0.012272565,-0.040306155,-0.011718032,-0.005366378,0.002229057,-0.011558501,0.001064933,-0.045479477,-0.027189667,-0.010150999,-0.016068296,0.010422787,-0.036424729,0.001399493,-0.002893118,-0.024715866,-0.010404153,-0.011378679,-0.00501798,-0.022418974,-0.005067362,-0.014540935,0.001905761,-0.005420335,-0.010118026,-0.006320994,-0.002890569,-0.020083657,-0.015413768,-0.006734032,-0.003630531,0.002759508,-0.045166654,0.002333476,-0.020346384,0.010533352,-0.013829895,-0.025252271,-0.018332175,-0.003256338,0.088990932,-0.014370165,-0.042229217,0.005037625,0.000301703,-0.017871768,-0.009713693,-0.000227523,-0.009664794,-0.010227184,-0.027538344,-0.008905414,-0.034788819,0.000210945,-0.00245017,0.003103167,-0.010206972,-0.007682142,-0.00423576,-0.019843789,-0.006530576,-0.010251225,-0.044178207,-0.0143012,-0.015230542,-0.013197832,-0.009075745,-0.015451819,-0.019281153,0.009962803,-0.008355093
-0.02546881,-0.043121059,-0.002967344,-0.024258491,-0.029805739,-0.021207657,-0.024224068,-0.096107319,-0.024153851,-0.025249996,-0.039841165,-0.032327182,-0.009044155,-0.042825812,-0.036736243,-0.025568621,-0.024976992,-0.044689861,-0.028089948,-0.052427903,-0.03503751,-0.003908683,-0.017774577,-0.011108186,-0.051945886,-0.028857774,-0.023175795,-0.026430887,-0.023338228,-0.014546609,-0.036079321,-0.026001403,-0.008605937,-0.009226997,-0.040418335,-0.012493413,-0.031773169,-0.044894248,-0.033529218,-0.043235498,-0.041216374,-0.041795238,-0.023443085,-0.024435843,-0.031216582,-0.028923743,-0.029882535,-0.017237558,-0.03820563,-0.011722818,-0.041280076,-0.022417069,-0.01667872,-0.025343434,-0.026306297,-0.020143742,-0.0256162,-0.018487909,-0.023413935,-0.05610257,-0.023770777,-0.042824586,-0.050286895,-0.024663527,-0.017560808,-0.008814072,-0.051120612,-0.035402149,0.004403215,-0.026870397,-0.02703311,-0.040452156,-0.022016219,-0.019386627,-0.006665686,-0.008772047,-0.006853181,-0.025332854,-0.052765967,-0.013187686,-0.02508426,-0.053706228,-0.008479513,-0.021330901,-0.016279988,-0.002703213,-0.023109776,0.011420161,-0.015597627,-0.032727232,-0.029881883,-0.023664424,-0.019463301,-0.01918411,-0.019858673,-0.005507024,0.019155002,-0.028942271,0.02302178,-0.01613586
-0.010348526,0.005273814,-0.027646531,-0.021165784,-0.009728535,-0.014240771,-0.015029788,-0.063369552,-0.014949832,-0.016628666,-0.001464982,-0.006608339,-0.003295031,-0.022966705,-0.019544317,-0.018402686,-0.026241101,-0.025501876,-0.02575392,-0.030528642,-0.010217865,0.007230575,-0.007327431,0.001097917,-0.013147034,-0.017630767,-0.017659495,-0.014505774,-0.025105929,-0.006604949,-0.010778367,0.000565259,-0.002515908,-0.002249889,-0.011498633,-0.00071892,-0.012678546,0.000891387,-0.004674603,-0.018112643,0.002075809,-0.015457323,-0.01654607,-0.013710225,-0.004139283,-0.012033826,-0.008094976,-0.009300872,-0.010418505,-0.010740961,-0.022653815,-0.010064527,-0.002646494,0.000613281,-0.00196771,-0.001783071,-0.016649617,-0.019281173,-0.001557296,-0.014531589,-0.008502754,-0.011355566,-0.006043515,-0.003410528,0.001718623,-0.01708092,-0.020921276,0.003062457,0.004478813,-0.028061131,-0.016509788,-0.021700036,-0.011192494,-0.003696418,-0.012820626,-0.015801794,-0.006208418,-0.01337007,-0.005650858,-0.016456942,-0.001059031,-0.006187808,-0.007479427,-0.028916584,0.00089521,-0.034424811,-0.001117321,-0.015673844,-0.021798619,-0.026260403,-0.017368449,0.010616533,-0.013153233,-0.014255442,-0.012409391,-0.009767488,-0.001479889,-0.016806916,-0.023178938,-0.020409063
0.002906068,0.016062516,-0.032322756,0.001474242,0.010434109,0.017266116,0.00416861,0.089345015,-0.020241956,0.002649572,0.017456439,-0.001248617,0.006579107,0.001691011,0.007210601,0.007241079,-0.000598205,0.00175267,-0.010267865,0.015487521,-0.029177898,0.004222336,0.00414834,0.000914538,0.008217761,-0.051426966,0.017013108,-0.000683055,0.019581073,0.014431436,-0.016697588,-0.000565259,0.006727986,0.01105923,-0.006825737,0.008589942,0.018175293,-0.013000823,0.008413936,0.004559109,0.000518382,0.024089433,0.002181032,0.002950805,0.010859231,0.01505948,-0.000101587,0.012081935,0.017304553,-0.006028842,-0.001528754,0.01519743,0.001685069,0.006011626,-0.012134438,0.011395051,0.025077834,0.007646837,0.010423413,0.016693196,-0.010628234,-0.00764283,0.001847674,-0.000213378,0.020731469,0.003322399,0.00281496,-0.000573604,0.003890886,0.031633684,0.011484651,0.001686009,0.008334458,0.002363015,0.002255565,0.00917192,0.027975265,0.010649798,0.004132366,0.001105399,0.020795954,-0.009005928,0.004707787,0.003272587,0.01214994,0.014465253,0.00535251,-0.005027682,-0.015041471,0.01673724,-0.005278612,0.012780126,0.002949891,0.004021956,0.014169625,0.005783254,-0.000370641,0.010637189,0.010645003,-0.013479024
0.008286588,0.014409218,0.017660675,0.017764408,0.01777926,0.004910751,0.004669118,0.021142517,0.020772684,0,0.000242843,0.01457594,0.005449606,0.013047139,0,0.007985407,0.011062614,0.016948139,0.007277466,0.000640186,0.002112314,-0.00176662,0.009034009,0.002737069,0.015931579,-0.02138453,0.008623921,0.017339892,0.003160852,0.008079741,0.016941323,0.001129962,0.01529478,-0.007826709,0.009543167,-0.004285809,0.006245237,0.013000823,0.009098406,0.002097108,0.006198087,0.001651726,0.013924439,0.01659926,-0.000120624,0.013503601,0.007591806,-0.002479791,0.019153819,0.006843298,0.002207433,0.013195806,0.012903375,0.014622141,0.001618275,0.01204708,0.008085211,0.009449674,0.006406864,0.01050143,0.046046797,0.006690747,0.018895326,0.002843485,-0.001346236,0.009901959,0,0.009136148,-0.001896239,0.013906513,0.006527802,0.016706146,0.012231743,0.001845651,-0.002255565,-0.002089363,-0.00089725,0.001209949,0.009720648,0,0.027969177,0.017247671,-0.008361312,-0.006286645,-0.001473994,0.01289632,0.015376474,0.009531074,0.010148015,0.006229205,0.02416288,0.019327999,0.014513397,0.018887349,0.011299498,-0.003554778,0.009826201,0.025038315,-0.009387039,0.020284061
-0.02472498,-0.026046528,-0.058622696,-0.022583662,-0.017476776,-0.017067522,-0.022508108,-0.060363194,-0.03598669,-0.024970324,-0.060166542,-0.052217345,-0.024362821,-0.029228477,-0.027144897,-0.033974751,-0.044512707,-0.029053852,-0.034641047,-0.036715395,-0.011592717,-0.042708431,-0.00744338,-0.024350477,-0.033377553,-0.031548639,-0.025571239,-0.028746624,-0.030032262,-0.016649537,-0.010031934,-0.023191885,-0.029811006,0.006015307,-0.021948514,-0.01441962,-0.05190801,-0.03336186,-0.021085524,-0.014064946,-0.048100411,0.006250782,-0.035766448,-0.035186623,-0.041398037,-0.048946993,-0.021094451,-0.013102846,-0.023843569,-0.012496251,-0.027860841,-0.033605092,-0.006431048,-0.01899983,-0.013776092,-0.016468241,-0.047085504,-0.024914328,-0.019952481,-0.037001302,-0.023695725,0.021673283,-0.040352482,-0.015308977,-0.02731485,-0.021481024,-0.056745262,-0.02183601,-0.007237898,-0.089869564,-0.01954245,-0.030958148,-0.037153565,-0.011539442,-0.020531831,-0.008663492,-0.008793863,-0.02945007,-0.009069553,-0.018625111,-0.027104882,-0.05374427,0.007506926,-0.006868456,-0.00473072,-0.023725271,-0.023640039,-0.030670327,-0.0470985,-0.033747501,-0.027362105,-0.032243697,-0.026034754,-0.040442389,-0.022454614,-0.01751274,-0.023370715,-0.032251405,-0.027084411,0.005966569
0.018417637,0.021635209,0.063952159,0.020153525,0.026052947,0.016844867,0.011055673,-0.017937683,0.051581848,0.000650668,0.019050456,0.015131154,0.006976637,0.008394284,0.006021895,0.016591956,0.020250372,0.017539797,0.035743845,0.004195608,0.022410793,0.025390679,0.009806881,0.02762586,0.014972028,0.056089592,0.006944173,0.00990245,0.002435796,0.014766377,0.049650493,0.009089661,0.006376849,0.009301069,0.013090268,0.013345092,-0.000820262,0.010763933,-7.75E-05,0.028623322,0.005173838,-0.006250782,0.020010848,0.016293011,0.014982438,-0.014770884,0.016748683,0.013178067,0.025678321,0.019090863,0.014886669,-0.000988848,0.000716849,0.017998463,0.040044737,0.009377563,0.000142924,0.016898868,0.012945778,0.018792619,0.001873505,0.013656139,0.030238104,0.017577918,0.007586128,0.022253605,0.009622732,0.02806882,0.010175301,0.004681218,-0.004603876,-0.020370116,0.020619486,-0.007175625,0.024073986,0.003947387,-0.004880973,0.023081499,0.034747502,0.002024214,0.018999277,0.014687758,0.00723817,0.00751515,0.016461004,-0.017318239,0.014987708,0.013803924,0.028883356,0.004206301,0.013910027,0.021036669,0.005942086,0.023310012,0.009530335,0.016176083,0.023981474,0.018133469,0.018243422,0.044848114
-0.023393986,-0.024308381,0.049697155,-0.013718844,-0.025952284,-0.00704037,-0.021342954,-0.084956754,-0.012218631,-0.042309414,-0.039242258,-0.042590924,-0.006022148,-0.028020536,-0.035997199,-0.035418579,-0.031377694,-0.044255438,-0.011560889,-0.066273094,-0.026861456,-0.04286495,-0.002837115,-0.021296856,-0.027463374,-0.046901372,-0.018381666,-0.030711774,-0.043088686,-0.017000708,-0.021285112,-0.024581073,-0.054000013,-0.004015265,-0.017027789,-0.016254286,-0.018212338,-0.036969472,-0.02391985,-0.019809713,-0.012766832,-0.024387546,-0.028770698,-0.028991909,-0.036470952,-0.003265747,-0.015102093,-0.021907059,-0.09543262,-0.019296784,-0.020132612,-0.022010311,-0.009115152,-0.024344311,-0.015875143,-0.00198872,-0.00923418,-0.022295332,-0.012424865,-0.025714437,-0.011700463,-0.009702255,-0.035174842,-0.017794088,-0.01767497,-0.012822876,-0.044435099,-0.04073569,-0.004076616,-0.028613953,-0.016369739,-0.055948448,-0.019446184,-0.019817724,-0.009689844,-0.015483426,-0.018258605,-0.017183533,-0.040839721,-0.038712946,-0.016755584,-0.039903859,0.000636656,-0.008057722,-0.009078916,-0.004697742,-0.022566766,-0.04146742,-0.005788305,-0.040796846,-0.013544016,-0.017521947,-0.012252771,-0.02228528,-0.027056619,-0.009853973,-0.023981474,-0.036601747,-0.018082225,-0.019655862
0.000749823,-0.004850602,-0.04184712,-0.002717392,0.021032512,0.000112163,0.00124689,-0.040206382,0,0.028111133,0.007513188,0.000833363,-0.004301238,0.003416743,-0.015331006,0.004183315,0.007115258,-0.008737064,0.006825941,-0.012558198,-0.014129832,0.01383649,0.014729364,0.006658034,-0.010556597,-0.078181253,0.000531867,-0.000847064,0.009690891,0.012278009,-0.026154795,0.004917599,0.000745185,0.014872207,0.001159705,0.006533577,-0.001672181,0.002203576,0.010972064,0,-0.021349933,-0.00576571,0.010514065,0.012017654,0.007745994,0.004435509,0.000718983,-0.014876184,0.001343328,0.005141509,-0.000525898,0.013920022,0.010069693,0.008078695,0.02420017,-0.003246332,0.006789849,-0.02847028,0.019942193,0.028129488,0.008888616,-0.007923462,0.003048953,-0.002165803,0.020762332,0.003902933,0.011104658,-0.008468714,0.023936901,0.036336735,0.013116947,0.008082306,0.012523749,0.019399791,-0.003902364,0.023071191,0.013581812,-0.003410346,0.005875407,-0.00456493,0.009438369,-0.019055129,0.016191568,0.012036001,0.015182575,-0.01205883,0.016064855,-0.003711547,-0.00131805,0.003948134,0.029842296,-0.000135356,0.00343695,0.002046626,-0.006144548,0.009853973,0.009587362,-0.012573306,0.01012169,-0.015327062
